,Name,Partisan,State,Date,Trump,Clinton,Other,Undecided
0,2016 Virginia President: Trump vs. Clinton,Nonpartisan,VA,2016-07-10,39.0,39.0,22.0,0.0
0,2016 Virginia President: Trump vs. Clinton,Nonpartisan,VA,2016-07-11,35.0,44.0,2.0,7.0
0,2016 Virginia President: Trump vs. Clinton,Nonpartisan,VA,2016-07-11,34.0,41.0,2.0,10.0
0,2016 Virginia President: Trump vs. Clinton,Nonpartisan,VA,2016-07-12,37.0,44.0,6.0,0.0
0,2016 Virginia President: Trump vs. Clinton,Nonpartisan,VA,2016-07-12,34.0,39.0,8.0,0.0
0,2016 Iowa President: Trump vs. Clinton,Nonpartisan,IA,2016-08-19,40.0,40.0,0.0,0.0
0,2016 Iowa President: Trump vs. Clinton,Nonpartisan,IA,2016-08-16,44.0,47.0,6.0,0.0
0,2016 Iowa President: Trump vs. Clinton,Nonpartisan,IA,2016-08-16,39.0,41.0,4.0,0.0
0,2016 Iowa President: Trump vs. Clinton,Nonpartisan,IA,2016-08-10,41.0,40.0,2.0,17.0
0,2016 Iowa President: Trump vs. Clinton,Nonpartisan,IA,2016-08-10,37.0,36.0,1.0,17.0
0,2016 Iowa President: Trump vs. Clinton,Nonpartisan,IA,2016-08-07,37.0,41.0,2.0,9.0
0,2016 Iowa President: Trump vs. Clinton,Nonpartisan,IA,2016-08-07,35.0,35.0,2.0,10.0
0,2016 Iowa President: Trump vs. Clinton,Nonpartisan,IA,2016-07-15,40.0,39.0,0.0,0.0
0,2016 Iowa President: Trump vs. Clinton,Nonpartisan,IA,2016-07-08,40.0,42.0,18.0,0.0
0,2016 Iowa President: Trump vs. Clinton,Nonpartisan,IA,2016-07-08,37.0,39.0,14.0,0.0
0,2016 Iowa President: Trump vs. Clinton,Nonpartisan,IA,2016-07-10,39.0,42.0,1.0,8.0
0,2016 Iowa President: Trump vs. Clinton,Nonpartisan,IA,2016-07-11,44.0,42.0,2.0,6.0
0,2016 Iowa President: Trump vs. Clinton,Nonpartisan,IA,2016-06-28,34.0,48.0,3.0,11.0
0,2016 Iowa President: Trump vs. Clinton,Nonpartisan,IA,2016-06-28,0.0,0.0,2.0,15.0
0,2016 Iowa President: Trump vs. Clinton,Sponsor,IA,2016-06-23,39.0,41.0,0.0,20.0
0,2016 North Carolina President: Trump vs. Clinton,Sponsor,NC,2016-08-27,44.0,45.0,12.0,0.0
0,2016 North Carolina President: Trump vs. Clinton,Nonpartisan,NC,2016-08-23,47.0,48.0,1.0,0.0
0,2016 North Carolina President: Trump vs. Clinton,Nonpartisan,NC,2016-08-23,45.0,45.0,0.0,0.0
0,2016 North Carolina President: Trump vs. Clinton,Nonpartisan,NC,2016-08-23,42.0,44.0,6.0,0.0
0,2016 North Carolina President: Trump vs. Clinton,Nonpartisan,NC,2016-08-17,43.0,44.0,13.0,0.0
0,2016 North Carolina President: Trump vs. Clinton,Nonpartisan,NC,2016-08-17,39.0,38.0,10.0,0.0
0,2016 North Carolina President: Trump vs. Clinton,Nonpartisan,NC,2016-08-10,39.0,48.0,1.0,7.0
0,2016 North Carolina President: Trump vs. Clinton,Nonpartisan,NC,2016-08-10,36.0,45.0,1.0,7.0
0,2016 North Carolina President: Trump vs. Clinton,Pollster,NC,2016-08-07,41.0,43.0,2.0,8.0
0,2016 North Carolina President: Trump vs. Clinton,Pollster,NC,2016-08-07,46.0,47.0,7.0,0.0
0,2016 North Carolina President: Trump vs. Clinton,Sponsor,NC,2016-08-02,46.0,42.0,6.0,7.0
0,2016 North Carolina President: Trump vs. Clinton,Sponsor,NC,2016-08-02,51.0,41.0,8.0,0.0
0,2016 North Carolina President: Trump vs. Clinton,Nonpartisan,NC,2016-07-11,38.0,44.0,1.0,6.0
0,2016 North Carolina President: Trump vs. Clinton,Nonpartisan,NC,2016-07-11,36.0,42.0,2.0,11.0
0,2016 North Carolina President: Trump vs. Clinton,Sponsor,NC,2016-06-20,41.0,51.0,5.0,0.0
0,2016 North Carolina President: Trump vs. Clinton,Sponsor,NC,2016-06-20,38.0,48.0,4.0,0.0
0,2016 North Carolina President: Trump vs. Clinton,Nonpartisan,NC,2016-06-24,42.0,44.0,6.0,0.0
0,2016 Wisconsin President: Trump vs. Clinton,Sponsor,WI,2016-08-27,41.0,48.0,12.0,0.0
0,2016 Wisconsin President: Trump vs. Clinton,Nonpartisan,WI,2016-08-28,42.0,45.0,1.0,0.0
0,2016 Wisconsin President: Trump vs. Clinton,Nonpartisan,WI,2016-08-28,38.0,41.0,1.0,0.0
0,2016 Wisconsin President: Trump vs. Clinton,Nonpartisan,WI,2016-08-30,38.0,43.0,8.0,0.0
0,2016 Wisconsin President: Trump vs. Clinton,Nonpartisan,WI,2016-08-07,37.0,52.0,0.0,0.0
0,2016 Wisconsin President: Trump vs. Clinton,Nonpartisan,WI,2016-08-07,34.0,47.0,0.0,0.0
0,2016 Wisconsin President: Trump vs. Clinton,Nonpartisan,WI,2016-07-10,41.0,45.0,1.0,4.0
0,2016 Wisconsin President: Trump vs. Clinton,Nonpartisan,WI,2016-07-10,37.0,43.0,1.0,0.0
0,2016 Wisconsin President: Trump vs. Clinton,Sponsor,WI,2016-06-20,36.0,47.0,7.0,0.0
0,2016 Wisconsin President: Trump vs. Clinton,Sponsor,WI,2016-06-20,32.0,44.0,5.0,0.0
0,2016 Wisconsin President: Trump vs. Clinton,Sponsor,WI,2016-06-23,39.0,47.0,0.0,14.0
0,2016 Wisconsin President: Trump vs. Clinton,Nonpartisan,WI,2016-06-24,36.0,41.0,11.0,0.0
0,2016 Wisconsin President: Trump vs. Clinton,Nonpartisan,WI,2016-06-12,37.0,46.0,0.0,4.0
0,2016 Wisconsin President: Trump vs. Clinton,Pollster,WI,2016-05-12,31.0,43.0,0.0,0.0
0,2016 Ohio President: Trump vs. Clinton,Sponsor,OH,2016-08-27,42.0,46.0,12.0,0.0
0,2016 Ohio President: Trump vs. Clinton,Nonpartisan,OH,2016-08-21,39.0,43.0,8.0,0.0
0,2016 Ohio President: Trump vs. Clinton,Nonpartisan,OH,2016-08-19,40.0,46.0,0.0,0.0
0,2016 Ohio President: Trump vs. Clinton,Nonpartisan,OH,2016-08-07,38.0,43.0,1.0,9.0
0,2016 Ohio President: Trump vs. Clinton,Nonpartisan,OH,2016-08-07,35.0,39.0,1.0,9.0
0,2016 Ohio President: Trump vs. Clinton,Nonpartisan,OH,2016-08-07,45.0,49.0,4.0,0.0
0,2016 Ohio President: Trump vs. Clinton,Nonpartisan,OH,2016-08-07,42.0,44.0,3.0,0.0
0,2016 Ohio President: Trump vs. Clinton,Nonpartisan,OH,2016-06-28,38.0,41.0,11.0,0.0
0,2016 Ohio President: Trump vs. Clinton,Pollster,OH,2016-07-24,42.0,39.0,2.0,10.0
0,2016 Ohio President: Trump vs. Clinton,Pollster,OH,2016-07-24,45.0,45.0,10.0,0.0
0,2016 Ohio President: Trump vs. Clinton,Nonpartisan,OH,2016-07-20,44.0,44.0,1.0,11.0
0,2016 Ohio President: Trump vs. Clinton,Nonpartisan,OH,2016-07-20,39.0,43.0,1.0,12.0
0,2016 Ohio President: Trump vs. Clinton,Nonpartisan,OH,2016-06-28,47.0,46.0,7.0,0.0
0,2016 Ohio President: Trump vs. Clinton,Nonpartisan,OH,2016-07-15,40.0,44.0,0.0,0.0
0,2016 Pennsylvania President: Trump vs. Clinton,Sponsor,PA,2016-08-27,43.0,48.0,9.0,0.0
0,2016 Pennsylvania President: Trump vs. Clinton,Nonpartisan,PA,2016-08-29,40.0,47.0,7.0,0.0
0,2016 Pennsylvania President: Trump vs. Clinton,Nonpartisan,PA,2016-08-29,38.0,41.0,13.0,0.0
0,2016 Pennsylvania President: Trump vs. Clinton,Nonpartisan,PA,2016-08-29,40.0,48.0,4.0,0.0
0,2016 Pennsylvania President: Trump vs. Clinton,Nonpartisan,PA,2016-08-07,37.0,48.0,1.0,6.0
0,2016 Pennsylvania President: Trump vs. Clinton,Nonpartisan,PA,2016-08-07,36.0,45.0,1.0,6.0
0,2016 Pennsylvania President: Trump vs. Clinton,Nonpartisan,PA,2016-08-07,42.0,52.0,5.0,0.0
0,2016 Pennsylvania President: Trump vs. Clinton,Nonpartisan,PA,2016-08-07,39.0,48.0,3.0,0.0
0,2016 Pennsylvania President: Trump vs. Clinton,Pollster,PA,2016-08-04,37.0,47.0,1.0,0.0
0,2016 Pennsylvania President: Trump vs. Clinton,Pollster,PA,2016-08-04,37.0,46.0,1.0,0.0
0,2016 Pennsylvania President: Trump vs. Clinton,Nonpartisan,PA,2016-08-01,38.0,49.0,8.0,0.0
0,2016 Pennsylvania President: Trump vs. Clinton,Nonpartisan,PA,2016-08-01,34.0,47.0,10.0,0.0
0,2016 Pennsylvania President: Trump vs. Clinton,Pollster,PA,2016-07-31,42.0,45.0,2.0,8.0
0,2016 Pennsylvania President: Trump vs. Clinton,Pollster,PA,2016-07-31,45.0,49.0,5.0,0.0
0,2016 Pennsylvania President: Trump vs. Clinton,Nonpartisan,PA,2016-07-27,41.0,50.0,1.0,8.0
